cwd,exit,items,ppid,pid,comm,timedelta,pid_timedelta,id_anomalies,num_id_anomalies,ARGV_PROCTITLE_str
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25392,grep,,,0,0,grep -q You_can_write_even_more_files_inside_last_directory
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25394,grep,0.015000104904174805,0 days 00:00:00.015000105,0,0,grep -qE /etc/anacrontab|/etc/apt/apt.conf.d|/etc/bash.bashrc|/etc/bash_completion|/etc/bash_completion.d/|/etc/cron|/etc/enviro
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25396,sed,0.004999876022338867,0 days 00:00:00.004999876,0,0,"sed -E s,00-header|10-help-text|50-motd-news|80-esm|91-release-upgrade|\.sh$|\./|/authorized_keys|/bin/|/boot/|/etc/apache2/apac"
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25398,grep,0.006000041961669922,0 days 00:00:00.006000042,0,0,grep -q You_can_write_even_more_files_inside_last_directory
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25400,grep,0.012000083923339844,0 days 00:00:00.012000084,0,0,grep -qE /etc/anacrontab|/etc/apt/apt.conf.d|/etc/bash.bashrc|/etc/bash_completion|/etc/bash_completion.d/|/etc/cron|/etc/enviro
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25402,sed,0.009999990463256836,0 days 00:00:00.009999990,0,0,"sed -E s,00-header|10-help-text|50-motd-news|80-esm|91-release-upgrade|\.sh$|\./|/authorized_keys|/bin/|/boot/|/etc/apache2/apac"
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25404,grep,0.010999917984008789,0 days 00:00:00.010999918,0,0,grep -q You_can_write_even_more_files_inside_last_directory
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25406,grep,0.006000041961669922,0 days 00:00:00.006000041,0,0,grep -qE /etc/anacrontab|/etc/apt/apt.conf.d|/etc/bash.bashrc|/etc/bash_completion|/etc/bash_completion.d/|/etc/cron|/etc/enviro
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25408,sed,0.006999969482421875,0 days 00:00:00.006999969,0,0,"sed -E s,00-header|10-help-text|50-motd-news|80-esm|91-release-upgrade|\.sh$|\./|/authorized_keys|/bin/|/boot/|/etc/apache2/apac"
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25410,grep,0.03699994087219238,0 days 00:00:00.036999942,0,0,grep -q You_can_write_even_more_files_inside_last_directory
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25412,grep,0.00800013542175293,0 days 00:00:00.008000136,0,0,grep -qE /etc/anacrontab|/etc/apt/apt.conf.d|/etc/bash.bashrc|/etc/bash_completion|/etc/bash_completion.d/|/etc/cron|/etc/enviro
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25414,sed,0.009999990463256836,0 days 00:00:00.009999990,0,0,"sed -E s,00-header|10-help-text|50-motd-news|80-esm|91-release-upgrade|\.sh$|\./|/authorized_keys|/bin/|/boot/|/etc/apache2/apac"
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25416,grep,0.019999980926513672,0 days 00:00:00.019999981,0,0,grep -q You_can_write_even_more_files_inside_last_directory
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25418,grep,0.006000041961669922,0 days 00:00:00.006000042,0,0,grep -qE /etc/anacrontab|/etc/apt/apt.conf.d|/etc/bash.bashrc|/etc/bash_completion|/etc/bash_completion.d/|/etc/cron|/etc/enviro
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25420,sed,0.01399993896484375,0 days 00:00:00.013999939,0,0,"sed -E s,00-header|10-help-text|50-motd-news|80-esm|91-release-upgrade|\.sh$|\./|/authorized_keys|/bin/|/boot/|/etc/apache2/apac"
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25422,grep,0.009999990463256836,0 days 00:00:00.009999991,0,0,grep -q You_can_write_even_more_files_inside_last_directory
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25424,grep,0.010999917984008789,0 days 00:00:00.010999918,0,0,grep -qE /etc/anacrontab|/etc/apt/apt.conf.d|/etc/bash.bashrc|/etc/bash_completion|/etc/bash_completion.d/|/etc/cron|/etc/enviro
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25426,sed,0.01100015640258789,0 days 00:00:00.011000156,0,0,"sed -E s,00-header|10-help-text|50-motd-news|80-esm|91-release-upgrade|\.sh$|\./|/authorized_keys|/bin/|/boot/|/etc/apache2/apac"
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25428,grep,0.00599980354309082,0 days 00:00:00.005999803,0,0,grep -q You_can_write_even_more_files_inside_last_directory
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25430,grep,0.016000032424926758,0 days 00:00:00.016000033,0,0,grep -qE /etc/anacrontab|/etc/apt/apt.conf.d|/etc/bash.bashrc|/etc/bash_completion|/etc/bash_completion.d/|/etc/cron|/etc/enviro
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25432,sed,0.014000177383422852,0 days 00:00:00.014000177,0,0,"sed -E s,00-header|10-help-text|50-motd-news|80-esm|91-release-upgrade|\.sh$|\./|/authorized_keys|/bin/|/boot/|/etc/apache2/apac"
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25434,grep,0.007999897003173828,0 days 00:00:00.007999897,0,0,grep -q You_can_write_even_more_files_inside_last_directory
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25436,grep,0.009000062942504883,0 days 00:00:00.009000063,0,0,grep -qE /etc/anacrontab|/etc/apt/apt.conf.d|/etc/bash.bashrc|/etc/bash_completion|/etc/bash_completion.d/|/etc/cron|/etc/enviro
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25438,sed,0.006999969482421875,0 days 00:00:00.006999970,0,0,"sed -E s,00-header|10-help-text|50-motd-news|80-esm|91-release-upgrade|\.sh$|\./|/authorized_keys|/bin/|/boot/|/etc/apache2/apac"
/home/matteo/Desktop/priv_esc_scripts/linpeas,0,2,23906,25440,grep,0.01699995994567871,0 days 00:00:00.016999960,0,0,grep -q You_can_write_even_more_files_inside_last_directory
